Name,URL,Income,Pages,Size,404,500,Robots
ARTSREVIVE,artsrevive.com,138290.0,0,0,0,0,False
REV BIRMINGHAM INC,www.revbirmingham.org,1695242.0,0,0,0,0,False
BELLINGRATH GARDENS AND HOME,www.bellingrath.org,3422595.0,2369,866250739,10,0,True
PIONEER MUSEUM OF ALABAMA ASSN,www.pioneer-museum.org,103113.0,125,103624363,2,0,True
ALABAMA SPORTS HALL OF FAME,ashof.org,552152.0,2812,41542788,27,0,False
BIRMINGHAM MUSEUM OF ART MEMBERS,www.artsbma.org,128759.0,11331,602377833,1765,0,True
BESSEMER HALL OF HISTORY INC,www.bessemerhallofhistory.org,52653.0,3,2176,1,0,False
LEE COUNTY HISTORICAL SOCIETY,www.leecountyhistoricalsociety.org,65826.0,0,0,0,0,False
SELMA DALLAS COUNTY HISTORIC PRESERVATION SOCIETY,historicselma.org,66034.0,0,0,0,0,False
BIRMINGHAM MUSEUM OF ART FOUNDATION,artsbma.org,1520372.0,11331,602377833,1765,0,True
BLUE AND GREY MUSEUM OF NORTH ALABAMA,www.alabamacivilwarmuseum.com,43542.0,0,0,0,0,False
ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,www.alabamagospelcenter.org,43765.0,636,171953681,3,0,True
WESTERVELT FOUNDATION,www.westerveltfoundation.org,177324.0,0,0,0,0,False
MUSEUM OF MOBILE INC,www.museumofmobile.com,44210.0,205,102598297,0,0,True
ALABAMA VETERANS MUSEUM & ARCHIVES,www.alabamaveteransmuseum.com,143504.0,168,5725559,0,0,True
GUNTERSVILL HISTORICAL SOCIETY INC,www.guntersvillehistoricalsociety.org,25646.0,0,0,0,0,False
BIRMINGHAM CIVIL RIGHTS INSTITUTE,www.bcri.org,2191134.0,255,75026295,3,1,False
NORTH ALABAMA SCIENCE CENTER INC,www.sci-quest.org,1495209.0,6,4641,0,0,True
JEMISON-VAN DE GRAAFF MANSION FOUNDATION,jemisonmansion.com,166506.0,66,2531522,3,0,True
MONTGOMERY COUNTY HISTORICAL SOCIETY,www.montgomeryhistoricalsociety.com,109920.0,0,0,0,0,False
MOBILE ZOO,www.mobilezoo.cc,141963.0,131,19551581,7,0,True
BIRMINGHAM ZOO INC,www.birminghamzoo.com,9971313.0,2429,215042689,198,0,True
CHAMBER OF COMMERCE MONTGOMERY AREA,www.montgomerychamber.com,6338331.0,0,0,0,0,False
ALTAMONT SCHOOL,www.altamontschool.org,7378963.0,0,0,0,0,False
HISTORIC MOBILE PRESERVATION SOCIETY INC,www.historicmobile.org,287161.0,2,9794,0,0,True
EASTERN SHORE ART ASSN INC,www.esartcenter.com,437551.0,341,28719262,2,0,True
LANDMARKS FOUNDATION OF MONTGOMERY,www.oldalabamatown.com,864680.0,10,36477,3,0,False
